Review,Beer_name,MultinomialNB_label
"surprisingly little taste. it is fresh and a typical lager, but more for thirst than taste",Asahi Super Dry,Positive
"pours an almost honey color with an extremely effervescent head that dissipates rapidly. typical cheap beer aroma, but it surprising has an above average palate. not too bad!",Asahi Super Dry,Positive
"smell and taste of maltiness, grass and bread. light bitterness that fills the entire mouth for quite a while. okay beer. follow me kung av l facebook and instagram for more pictures and ratings.",Asahi Super Dry,Positive
"no redeeming features of this 'beer' other than the carbonation, it is just a bland pale mass produced commercial product more akin to a chemical construct than a true beer.",Asahi Super Dry,Negative
"at least, there is no harsh off flavours. what is there is good, but it is watery and only tastes of mild, sweet lager malt. dry finish.",Asahi Super Dry,Negative
"golden with quickly disintegrating white head. nose of pleasant sweet malty notes watered down mouthfeel. hints of sweet malt with a dry finish. decent , but a bit too watery",Asahi Super Dry,Positive
"bland smell, taste taste of yeast, bread, wheat and barley. refreshing taste.",Asahi Super Dry,Positive
"pale gold, healthy center upstream bubbles. moderate white frothy head that tails off. cereal nose. dry not bitter taste. think sourdough flavor. remaining on the tongue a yeasty with mild tangy chill. this version . adequate warming. even, modest finish.",Asahi Super Dry,Positive
"light amber color, medium white head which disipates quickly, medium carbonation bubbles. aroma weak acidic weak, watery bitternes, weak sweetness also, little bittery aftertaste.",Asahi Super Dry,Positive
"thin beige head on a golden coloured body. no aroma. medium bodied, smooth with a sharp back. sweet citrus, peach, malt confectionery tastes with a lightly hopped fruity finish. tastes like an ipl.",Asahi Super Dry,Positive
golden colour with low head. hay aroma. dry malty taste with some bitterness lingering.,Asahi Super Dry,Positive
pours a golden color with a quickly disappearing head. very little smell. flavor is not remarkable and smooth an easy drinker,Asahi Super Dry,Positive
"at . at the wibbas down inn, wimbledon. pours clear pale golden with a white head. aroma of malt and apple. smooth taste and finish.",Asahi Super Dry,Positive
pours clear gold w a decent white head messy lacing. the aroma is funky bread. the taste is grain dry cereal. it doesn t have a good mouthfeel overall is pretty bad. definitely not my thing!,Asahi Super Dry,Negative
"very, very light beer. dry, as advertised. i am not a fan of the hop at all. just fine with sushi, but i didn t finish the can, and ordered saki instead.",Asahi Super Dry,Negative
"perfectly drinkable, dry obviously but. it a huge amount going on. good companion to spicy asian food.",Asahi Super Dry,Positive
"poured from clear pale gold with white head. grainy, useless, metallic macro.",Asahi Super Dry,Negative
"old untappd check in. february , . tasted in beers of the world class at rit. didn t like it then, like it much more now.",Asahi Super Dry,Positive
",th rating! pours a clear amber from a can. all around typical pale lager, super sweetly malted. not that great.",Asahi Super Dry,Positive
"pours pale straw color white foamy head ,aroma of wet newspaper cut grass and citrus, taste is sweet and citrus some bitterness not to bad quiet refreshing dry taste",Asahi Super Dry,Positive
clear yellow gold color poured with a solid white head that quickly dissipates. malty aroma with a dry finish. perfect with korean bbq.,Asahi Super Dry,Positive
"pours clear light golden with big although quickly disappearing white head. a: some hops some grains t: medium crisp, lighter body, harsh to paper board dry taste",Asahi Super Dry,Negative
"from to glass. pours clear golden yellow with bubbly white head. mostly seems like corn and grain, with a dry finish.",Asahi Super Dry,Positive
"old untappd checkin, april , . light golden color, moderate head, clear appearance. sweet aroma. malty body, dry, crisp finish. very serviceable lager.",Asahi Super Dry,Positive
pale clear yellow with a white head. aroma is grainy and lightly fruity. taste is light sweet and light bitter.,Asahi Super Dry,Positive
"orangey gold with a full white head that swiftly diminishes. faint aroma of hay, grain, malt. flavours of malt, straw, slightly spicy aftertaste with a lingering bitter note. a touch chemical and artificial. unexceptional. typical mass market lager. ok cold on a sunny day. otherwise, meh",Asahi Super Dry,Negative
"grassy nose, light, crisp, unchallenging but refreshing. i like this. great lager.",Asahi Super Dry,Positive
"old rating from pours golden with a white foamy head. aromas tastes of lemon, grain, rice yeast. light to moderate body. dry mildly bitter finish.",Asahi Super Dry,Positive
"clear, bright golden color and a nice white head. dry, grainy, slightly bitter. crisp.",Asahi Super Dry,Positive
"from pk noodles in jacksonville, fl. the beer poured a clear amber color with a small white head and limited lacing. lots of grain or cereal in the aroma. the taste is dry with only mild hop bitterness mostly wheat malts. the beer has a medium body with average carbonation.",Asahi Super Dry,Positive
"light and crispy. bitter and sour at the start, some corn, and a metallic tang. crisp and dry. would go well with any food just like the rest of the macro lagers.",Asahi Super Dry,Negative
"brewed in italy. golden in color with a fine foam. nose. malty, with faint notes of mushrooms and fruits. taste. malty, sweet notes, with dry bitterness in the aftertaste.",Asahi Super Dry,Positive
"opening with a loud crispy sound, yeasty smellheavy carbonation which is not a bad thang. the carb and hops underlayed with a more malty based character finishes with a satin smooth ending. good and must be delicious to a kobe tepenyaki in kyoto.",Asahi Super Dry,Positive
"pours clear bright golden. medium body, oily mouthfeel. grassy corn and rice aroma. macro lager what did you expect taste. malty unpleasant finish.",Asahi Super Dry,Negative
". bought at idea supermarket, belgrade. clear golden colour with thin, frothy white head, aroma is grainy, malty , hint of honey, taste is malty, medium sweetness, low bitterness, extremely high carbonation, thin bodied.",Asahi Super Dry,Positive
"not a bad beer , weak malty aroma and a watery sweet taste. corny aftertaste.",Asahi Super Dry,Negative
"ounce in kent ohio. smell light and grainy. light yellow with small white head. taste sweet, dry and grainy. light bodied and smooth. very drinkable beers. cheers!",Asahi Super Dry,Positive
"aroma . appearance .taste . palate . overall . malt aroma. grain taste, dry aftertaste and quite watery.",Asahi Super Dry,Positive
"clean, clear and crisp. bright and bubbly on pour some rice and grains aromas, with a dry finish.",Asahi Super Dry,Positive
"can from local shop. clear gold with bright white head. looks good. nose is syrupy malt. dry hay. little juicy fruit. medium body with sharp, bubbly carbonation and a dry, leaf finish. it is lager, very much as we know it.",Asahi Super Dry,Positive
"pretty cum. at the price point, it is probably my preferred drink. looks like a lager and tastes like one too does what you need it to do and not much else. the can designs are nice too.",Asahi Super Dry,Negative
"pale golden color, weak white head. aroma: corn, light malt and hops. taste is the same. forgettable weak mass lager.",Asahi Super Dry,Negative
"jan , ulkl bben generalforsamling, frank. clear golden with a low, white head. straw, a little sweet malt. slightly bitter, thin.",Asahi Super Dry,Negative
"aroma is hops and grass. some metal and cereals. malt flavour, hoppy bitterness, some sweetish notes. fine lager, would buy on sale.",Asahi Super Dry,Positive
clear yellow with thin white head. aroma of hops. taste is grassy and light malty with a water like texture. finishes light bitter.,Asahi Super Dry,Negative
cannot believe i have not rate this yet. draft in hk airlport lounge. great taste and less filling it contains alcohol.,Asahi Super Dry,Positive
regular japanese beer by asahi. golden colour. rich malt taste and flavour. can be found all over japan.,Asahi Super Dry,Positive
at home this is just another mass produced lager. very bland and sweet,Asahi Super Dry,Negative
nice drop every now and then. dry taste means this is not one to be drunk in repeated fashion. ok beer at good price.,Asahi Super Dry,Positive
i think this beer is an example of why i don t really drink those big brands just nothing special going on here.,Asahi Super Dry,Negative
"a crisp and aromatic lager, dry yet refreshing and slightly fruity. tarte and vibrant when first sipped, with the taste becoming softer and more refreshing as it sits on the tongue. an easy drink, though perhaps slightly too sweet.",Asahi Super Dry,Positive
"home, vintage a hint of grass, other than that, it has aged incredibly well and tastes nothing.",Asahi Super Dry,Positive
"pours silky smooth through my fluffy white head, down the throath into my medium but sturdy body, making me feel good. i like it a lot!",Asahi Super Dry,Positive
"i am not going to pretend i am a sommelier and that i know what i am talking about with regards to maltiness like everyone else. bloody nice beer, great taste of japan. it must taste good because i keep buying it!",Asahi Super Dry,Negative
"extremely satisfying first sip on a hot day, with bright, crisp finish. dry carbonated feel.",Asahi Super Dry,Positive
"musty aroma of hops and malt. yellow, clear with big white head. strange taste of grass, some unpleasant bitterness. medium body, carbonation is light.",Asahi Super Dry,Negative
", l pours crystal clear golden with small almost immediately dissipating white head. aroma of rice, corn and cardboard. taste is medium to heavy sweet and low bitterness. body is watery, carbonation medium and mouthfeel slick. finish is short and sweet. quite terrible and pointless.",Asahi Super Dry,Negative
"pours light yellow. nearly non existent aroma with hints of chemicals and corn. tastes like bitter, carbonated water.",Asahi Super Dry,Negative
"i have bought this beer mostly for cup. in aroma some malts, in taste just regular pale lager.",Asahi Super Dry,Negative
"pours clear pale golden with a medium head that dissappears quickly. aroma of malts. taste of malts, and little else. very one dimensional and simple. light bitter aftertaste",Asahi Super Dry,Negative
"if angels cried, this is what their tears would taste like. goes down easier than a woman on dollar beer night. would recommend.",Asahi Super Dry,Negative
